crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,layer_id,layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,0,T1.1,T1.2,T1.3,T1.4,T2.1,T2.2,T2.3,T2.4,T2.5,T2.6,T3.1,T3.2,T3.3,T3.4,T4.1,T4.2,T4.3,T4.4,T4.5,T5.1,T5.2,T5.3,T5.4,T5.5,T6.1,T6.2,T6.3,T6.4,T6.5,T7.1,T7.2,T7.3,T7.4,T7.5,S1.1,S1.2,S2.1,SF1.1,SF1.2,SF2.1,SF2.2,SM1.1,SM1.2,SM1.3,TF1.1,TF1.2,TF1.3,TF1.4,TF1.5,TF1.6,TF1.7,F1.1,F1.2,F1.3,F1.4,F1.5,F1.6,F1.7,F2.1,F2.2,F2.3,F2.4,F2.5,F2.6,F2.7,F2.8,F2.9,F2.10,F3.1,F3.2,F3.3,F3.4,F3.5,FM1.1,FM1.2,FM1.3,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M1.8,M1.9,M1.10,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M3.4,M3.5,M3.6,M3.7,M4.1,M4.2,MT1.1,MT1.2,MT1.3,MT1.4,MT2.1,MT2.2,MT3.1,MFT1.1,MFT1.2,MFT1.3,NA
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,120,Scrub,,,,0.2,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,121,Open scrub,,,,0.3,,,,,,0.3,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,122,Dry evergreen scrub,,,,0.6,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,123,Dry deciduous scrub,,,,0.5,,,,,,,,,,,,,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,124,Ziziphus,,,,0.2,,,,,,,,,,,,,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,125,Euphorbia scrub,,,,,,,,,,,,,,,,,,0.2,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,126,Moist alpine scrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,127,Dry alpine scrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,128,Prosopis juliflora,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,129,Lantana scrub,,,,,,,,,,,,,,,,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,131,Desert dune scrub,,,,,,,,,,,,,,,,,0.2,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,132,Thorn scrub,,,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,133,Prosopis cineraria,,,,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,134,Calotropis procera,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,135,Grassland,,,,,,,,,,,,,,,,,0.33,0.33,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,136,Wet grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,137,Riverine grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,138,Moist alpine pasture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,139,Dry alpine pasture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,141,Dry grassland,,,,,,,,,,,,,,,,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,143,Swampy grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,144,Lasiurus-Panicum grassland,,,,,,,,,,,,,,,,,0.7,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,145,Cenchrus-Dactyloctenium grassland,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,147,Sehima-Dichanthium grassland,,,,,,,,,,,,,,,,,0.45,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,148,Coastal swampy grassland,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,150,Orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,151,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,153,Arecanut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,154,Coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,157,Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,158,Saffron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,160,Cryptomeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,163,Padauk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,170,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,171,Cold deserts,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,172,No data,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,173,Abandoned jhum,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,180,Barren land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,181,River bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,185,Run of Kutchh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,188,No data,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,190,Water body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,191,Wet lands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,200,Settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,211,Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2026,Alli Lynn,2.1,277,iirs_india_vegetation_2015,30712,VegetationTypeMap_India,raster code,255,Reject class,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
